risk_tolerance,gamma,n_policies,alpha01_pass_rate,best_return,median_return,min_V,median_gamma_cp,max_n_funded,all_alpha01_pass
0.155,0.45,3,1.0,167067.29591823329,166621.64409318674,0.041775,0.156642,348.0,True
0.155,0.5,3,1.0,164689.02196237698,163947.7110439952,0.041975,0.144086,352.0,True
0.155,0.55,3,1.0,162753.66070085138,162326.28515545817,0.038975,0.134188,347.0,True
0.16,0.45,3,1.0,166559.14303245154,165829.33653326883,0.04545,0.164313,348.0,True
0.16,0.5,3,1.0,166244.65010111933,165517.85855195278,0.041975,0.152083,347.0,True
0.16,0.55,3,1.0,164273.35080211036,163847.98926196393,0.041975,0.140719,349.0,True
0.165,0.45,3,1.0,168365.23091736945,168244.12224854622,0.040431,0.171708,348.0,True
0.165,0.5,3,1.0,167692.389704731,166777.3884430658,0.03905,0.158941,346.0,True
0.165,0.55,3,1.0,165547.8905382124,165504.23210778716,0.040975,0.147556,351.0,True
0.17,0.45,3,1.0,169389.5810115051,169337.1631898248,0.03545,0.179102,345.0,True
0.17,0.5,3,1.0,167226.8353415202,167124.6310620346,0.03545,0.165827,347.0,True
0.17,0.55,3,1.0,167069.47757462133,166969.46159398026,0.03905,0.154754,349.0,True
0.175,0.45,3,1.0,170464.5429284627,166574.19464587132,0.03525,0.186841,346.0,True
0.175,0.5,3,1.0,168801.31532762162,168669.5041537059,0.03545,0.172713,345.0,True
0.175,0.55,3,1.0,166269.82231927008,166186.4620978511,0.030034,0.161059,346.0,True
